SQL>
SQL> select di.owner
  2       , dic.column_name
  3       , dic.column_position
  4       , di.table_name
  5       , di.index_name
  6       , di.index_type
  7       , di.uniqueness
  8       , di.num_rows
  9       , di.sample_size
 10       , di.last_analyzed
 11       , di.global_stats
 12       , di.initial_extent
 13       , di.max_extents
 14       , di.next_extent
 15    from user_tables ut
 16         inner join dba_indexes di on di.table_name = ut.table_name
 17         inner join dba_ind_columns dic on dic.index_name = di.index_name
 18   --where ut.table_name like 'LBM_CLIENT_TOP'
 19  ;

OWNER                          COLUMN_NAME                    COLUMN_POSITION TABLE_NAME                     INDEX_NAME                     INDEX_TYPE                  UNIQUENES   NUM_ROWS SAMPLE_SIZE LAST_ANAL GLO INITIAL_EXTENT MAX_EXTENTS NEXT_EXTENT
STORELAND                      CODECOLORIS                                  4 HISTO_REPORTS_DATE_CDE_COMP    HISTO_REPORTS_DATE_CDE_COMP_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      DATELIVRAISONINITIALE                        5 HISTO_REPORTS_DATE_CDE_COMP    HISTO_REPORTS_DATE_CDE_COMP_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      DATEMADINITIALE                              6 HISTO_REPORTS_DATE_CDE_COMP    HISTO_REPORTS_DATE_CDE_COMP_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      DATEREPORT                                   7 HISTO_REPORTS_DATE_CDE_COMP    HISTO_REPORTS_DATE_CDE_COMP_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODESITE                                     1 HISTO_REPORTS_DATE_CDE_PF      HISTO_REPORTS_DATE_CDE_PF_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      CODECOMMANDE                                 2 HISTO_REPORTS_DATE_CDE_PF      HISTO_REPORTS_DATE_CDE_PF_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      CODEPRODUIT                                  3 HISTO_REPORTS_DATE_CDE_PF      HISTO_REPORTS_DATE_CDE_PF_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      CODECOLORIS                                  4 HISTO_REPORTS_DATE_CDE_PF      HISTO_REPORTS_DATE_CDE_PF_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      DATELIVRAISONINITIALE                        5 HISTO_REPORTS_DATE_CDE_PF      HISTO_REPORTS_DATE_CDE_PF_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      DATEMADINITIALE                              6 HISTO_REPORTS_DATE_CDE_PF      HISTO_REPORTS_DATE_CDE_PF_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      DATEREPORT                                   7 HISTO_REPORTS_DATE_CDE_PF      HISTO_REPORTS_DATE_CDE_PF_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      DATEDEPARTUSINEREPORTEE                      8 HISTO_REPORTS_DATE_CDE_PF      HISTO_REPORTS_DATE_CDE_PF_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      DATELIVRAISONREPORTEE                        9 HISTO_REPORTS_DATE_CDE_PF      HISTO_REPORTS_DATE_CDE_PF_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      CODEPRODUIT                                  1 HISTO_SAISONGEST_PRODCOL       HISTO_SAISONGEST_PRODCOL_PK    NORMAL                      UNIQUE       2313061      238843 04-JUN-14 YES       83886080  2147483645     1048576
STORELAND                      CODECOLORIS                                  2 HISTO_SAISONGEST_PRODCOL       HISTO_SAISONGEST_PRODCOL_PK    NORMAL                      UNIQUE       2313061      238843 04-JUN-14 YES       83886080  2147483645     1048576
STORELAND                      CODESAISONGESTION                            3 HISTO_SAISONGEST_PRODCOL       HISTO_SAISONGEST_PRODCOL_PK    NORMAL                      UNIQUE       2313061      238843 04-JUN-14 YES       83886080  2147483645     1048576
STORELAND                      DATEDEBUT                                    4 HISTO_SAISONGEST_PRODCOL       HISTO_SAISONGEST_PRODCOL_PK    NORMAL                      UNIQUE       2313061      238843 04-JUN-14 YES       83886080  2147483645     1048576
