STORELAND.Table_name                        Rows_count
COMPTA_SOCIETES_ACHATS                               0
COMPTA_SOCIETES_REGLEMENTS                           0
COMPTA_SOUS_FAMILLE                                  0
COMPTA_STOCK_DEPOTS                                  0
COMPTA_STOCK_MAGASINS                                0
COMPTA_STOCK_PARAM                                   0
COMPTA_STOCK_SOCIETE                                 0
COMPTA_SUIVI                                         0
COMPTA_TVA_ACHATS                                    0
COMPTA_TVA_ACHATS_JOURNAL                            0
COMPTA_VENTES                                        0
COMPTA_VENTES_ANALYTIQUE                             0
COMPTA_VENTES_MAGASINS                               0
COMPTES_COMPTABLE                                    0
COMPTEURS_STOCK_DEPOT                               12
COMPTEURS_STOCK_MAGASIN                             12
COMP_ART_CDE_DETAIL_PXREV                            0
CONCURRENCES_ACTION_MKT                              0
CONDITIONNEMENTS_COLIS                               0
CONDITIONNEMENTS_COLIS_MAGASIN                       0
CONDITIONNEMENTS_LANGUE                              0
CONDITIONS_ENTRETIEN_LANGUE                          0
CONDITIONS_REGLEMENT                                13
CONDITIONS_REGLEMENT_LANGUE                          0
CONDITIONS_TRANSPORT                                 1
COND_REGLEMENT_CLIENTS_NEG                           0
COND_REGLEMENT_FOURNISSEUR                           0
CONSOLE_CONNEXION_HISTORIQUE                 2,576,488
CONSOLE_FERMETURE_HISTORIQUE                    54,239
CONSOLE_FONCTION_HISTORIQUE                  2,771,184
CONSOLE_MENU                                         0
CONSOLE_MENU_HISTORIQUE                         21,050
CONSOLE_OUVERTURE_HISTORIQUE                 1,673,294
CONSOLE_PARAMETRES                                  10
CONSOLE_PROCESSUS_HISTORIQUE                    15,960
CONSOLE_TICKETS_MANQUANTS                       89,149
CONSOLE_TICKET_HISTORIQUE                      762,196
CONSOLE_TRANSFERT_HISTORIQUE                    52,295
CONSO_SAV                                            0
CONSO_SEUILS_STOCK_MAGASIN                           0
CONSO_STAT1                                    404,023
CONSO_STAT2                                          0
CONSO_STAT3                                    199,409
CONSO_STAT4                                          0
CONSO_STAT5                                 11,987,307
CONSO_STAT6                                          0
CONSO_STAT7                                          0
CONSO_STAT8                                          0
CONTROLES_IMPORT_DEPOTS                              0
CONVERSION_DEVISE_TARIF_NEG                          0
CONVERSION_EURO_MAGASINS                           650
CORRESPONDANCES_PRODUIT_OVS                          0
CORRESPONDANCES_STL_EXT                              0
CORRESP_PICKING_DISTRIB                              0
COURBES_DE_VIE                                       0
COURBES_DE_VIE_AXESTAT                               0
COURBES_VIE_PRODCOL                                  0
COUTS_ACTION_MARKETING                               0
CREDIT_HEURES_MAGASIN                                0
CRM_CHQ_MAG_IMPR                                     0
CRM_CLIENTS_REJETES                                  0
CRM_PB_CARTE_ACTIVE_A                                0
CRM_PB_CARTE_ACTIVE_Y                                0
CRM_REQUETE_W3                                       0
CRM_TICKET_RATTACHE_STL                              0
CRM_TRAD_LIBELLE_AM                                  0
CYVENTE_CLASSPROD1                                   9
CYVENTE_CLASSPROD2                                 431
CYVENTE_DEVISE                                       0
DATES_ACTION_MARKETING                             242
DATES_OPE_COMM                                 167,380
DATES_OPE_COMM_REM                                   0
DATE_IMPLANT_ARTICLE_MAG                             0
DATE_IMPLANT_PRODCOL_MAG                             0
DC_CARTE_FIDELITE_CLIENT                         1,592
DC_CLIENTS                                           0
DC_CLIENTS2                                          0
DC_CORR_CARTE                                    1,592
DC_INT_INFOCARTECLIENTS                              0
DC_INT_INFOCLIENTS                                   0
DC_INT_INFOSTATSCLIENTS                              0
DC_PERSONNELS                                        0
DC_PERSONNEL_ENSEIGNE                                0
DC_PERSONNEL_MAGASIN                                 0
DC_STATS_CLIENT                                      0
DECHARGT_PORTABLES_MAGASIN                           0
DEFINITION_CHAMP_SITE                                0
DEMANDES_TRF_MAGASIN                                 0
DEPOTS                                               1
DESCRIPTIONS_PRODUIT_WEB                     5,962,887
DESTINATAIRES_MESSAGE                                0
DETAIL_MOUVEMENT_TPE                                 0
DEVISES                                          8,098
DEVISES_FOURNISSEUR                                  0
DEVISES_ISO                                         10
DISTRIBUTION_COLIS                                   0
DLA_ARTICLE_A_ENVOYER                          217,334
DOCATT_REQUETE_W3                                    0
DOC_REGUL_FACTURES_ACHAT                             0
DONNEES_JALON_TRACKING                               0
DOSSIERS_SAV                                         0
ECARTS_FACTURE                                       0
ECH_ACTIONS_MARKETING                                0
ECH_ACTION_MARKETING                                 0
ECH_CLIENTS                                          0
ECH_ENVOIS_MARKETING                                 0
ECH_ERR_ACTIONS_MARKETING                            0
ECH_ERR_ACTION_MARKETING                             0
ECH_ERR_CLIENTS                                      0
ECH_ERR_ENVOIS_MARKETING                             0
ECH_ERR_NPAI                                         0
ECH_ERR_OSCC                                         0
ECH_ERR_PROLONG_CHQFID                               0
ECH_ERR_STATS_CLIENT                                 0
ECH_NPAI                                             0
ECH_OSCC                                             0
ECH_PROLONG_CHQFID                                   0
ECH_STATS_CLIENT                                     0
ED_STK_DEP_CIA_TMP                                   0
ED_STK_DEP_CODECPTSTKDEP_TMP                         0
ED_STK_DEP_TMP                                       0
ED_STK_MAG_CIA_TMP                                   0
ED_STK_MAG_CODECPTSTKMAG_TMP                         0
ED_STK_MAG_CODEMAG_TMP                               0
ED_STK_MAG_CODEPAYS_TMP                              0
ED_STK_MAG_TMP                                       0
ELASTICITES_VENTE                                    0
ELEMENTS_CARACTERISTIQUE_PDT                         0
ELEMENTS_COURBES_VIE                                 0
ELEMENTS_QUESTIONS_MAGASINS                          0
ELEMENTS_STATISTIQUES                               35
ELEMENT_FICHE_CLIENT                                31
ELEMENT_STATISTIQUES_CLIENT                         86
ELEMENT_STATISTIQUES_CLIENT_D                        0
ELEMENT_STATISTIQUE_CLASSPROD                        0
ELT_TEST_SEB                                         0
EMPLACEMENTS_DEPOT                                   1
EMPLACEMENTS_DEPOT_DEFAUT                            0
EMPLACEMENTS_DEPOT_DEFAUT_TMP                        0
ENSEMBLES                                            0
ENVOIS_MARKETING                             9,061,429
ERREUR                                         184,908
ERREUR2                                              0
ERREURS                                              0
ERREURS_INTEGRATION_VENTE                            0
ERREURS_LIVRAISON                                    0
ERROR at line 1:
ERROR at line 1:
ERROR at line 1:
ERROR at line 1:
ERROR at line 1:
ERROR at line 1:
ERROR at line 1:
ERROR at line 1:
ESPECES                                              0
ES_STOCK_MAGASIN                                     0
ETAPES_SOLUTION_TYPE_TRSPT                           0
ETATS_CARTE_FIDELITE_CLIENT                          6
ETATS_COMMANDE                                       5
ETATS_COMPOSANT                                      2
ETATS_FACTURE_ACHAT                                  1
ETATS_FOURNISSEUR                                    3
ETATS_LANCEMENT_PRODUIT                              0
ETATS_LIGNE_COMMANDE_NEG                             3
ETATS_LISTE_PICKING                                  0
ETATS_NOTE_REGUL                                     0
ETATS_OPE_COMM                                       4
ETATS_PRODUIT                                        4
ETATS_RECEPTION                                      5
ETATS_RETOURS_DEPOT                                  0
ETATS_RETOUR_DEPOT                                   3
ETATS_TROLLEY                                        0
EXCEPTIONS_MODULES_ASSORT_MAG                        0
EXPORTS_MAGASIN                                      0
EXTRACTIONS_MOUVEMENT                                1
EXTRACTION_MVTS_STOCK                                0
FACTURATIONS_CLIENT                              2,489
FACTURATIONS_CLIENT_PFL                          2,244
FACTURES_ACHAT                                       0
FACTURES_ACHAT_MULTITVA                              0
FACTURES_CDES                                        0
FACTURES_EXPORT                                      0
FACTURES_MAGASIN                                     0
FACTURES_NEG                                         0
FACTURES_NEG_MD                                      0
FACTURES_TICKET                                 16,874
FACTURES_TRANSPORTEUR                                0
FAMILLE                                              0
FORMATS_ETIQUETTE                                    0
FORMAT_EDITION_PRELEV_STOCK                          0
FORMAT_EXTRACT_ACTION_MKT                            7
FORMULAIRES_CLIENT                                  11
FOURNISSEURS                                         1
FOURNISSEURS_EMAIL                                   0
FRAIS_ANNEXES_FACTURE                                0
FSI_MONTANT_DEVISE                                   0
FT_AGENCES                                           0
FT_CIB                                               0
FT_CIB_TMP                                           0
FT_CODIF                                             0
FT_CORRITF                                           0
FT_CORRITF_TMP                                       0
