SQL>
SQL> select di.owner
  2       , di.table_name
  3       , di.index_name
  4       , di.index_type
  5       , di.uniqueness
  6       , di.num_rows
  7       , di.sample_size
  8       , di.last_analyzed
  9       , di.global_stats
 10       , di.initial_extent
 11       , di.max_extents
 12       , di.next_extent
 13    from user_tables ut
 14         inner join dba_indexes di on di.table_name = ut.table_name
 15  ;

OWNER                          TABLE_NAME                     INDEX_NAME                     INDEX_TYPE                  UNIQUENES   NUM_ROWS SAMPLE_SIZE LAST_ANAL GLO INITIAL_EXTENT MAX_EXTENTS NEXT_EXTENT
STORELAND                      RESERVATIONS_STOCK_CLIENT      RESERVATIONS_STOCK_CLIENT_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      RESERVATIONS_STOCK_COLIS       RESERVATIONS_STOCK_COLIS_FK1   NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      RESERVATIONS_STOCK_COLIS       RESERVATIONS_STOCK_COLIS_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      RESERVS_STOCK_COMPOSANT        RESERVS_STOCK_COMPOSANT_FK1    NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      RESERVS_STOCK_COMPOSANT        RESERVS_STOCK_COMPOSANT_FK2    NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      RESERVS_STOCK_COMPOSANT        RESERVS_STOCK_COMPOSANT_PK     NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      RESSOURCES_TRACKING_FRN        RESSOURCES_TRACKING_FRN_PK     NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      RETENTION_MAIL_CLIENT          RETENTION_MAIL_CLIENT_PK       NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      RETOURS_DEPOT                  RETOURS_DEPOT_PK               NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      RETOURS_DEPOT_TELEPH           RETOURS_DEPOT_TELEPH_PK        NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      RETOURS_FOURNISSEUR            RETOURS_FOURNISSEUR_PK         NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      SAISONS_MODULES_ASSORT         SAISONS_MODULES_ASSORT_PK      NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
