SQL> select at.table_name, at.status, at.num_rows, at.last_analyzed , atc.data_type
  2       , ai.index_name, ai.index_type, ai.uniqueness, ai.leaf_blocks, ai.distinct_keys, ai.status as i_status, ai.last_analyzed as i_last_analyzed, ai.global_stats
  3       , aic.column_name, aic.column_position
  4    from all_tables at
  5         inner join all_indexes ai on ai.table_name = at.table_name
  6         inner join all_ind_columns aic on aic.index_name = ai.index_name
  7         inner join all_tab_columns atc on atc.table_name = aic.table_name and atc.column_name = aic.column_name
  8   where at.owner  in ( 'STORELAND' )
  9     ---and at.table_name in ('LBM_VENTE_POSTE', 'LBM_CP_HISTO')
 10   order by at.table_name, ai.index_name, aic.column_position
 11  ;
TABLE_NAME                     STATUS     NUM_ROWS LAST_ANAL DATA_TYPE                      INDEX_NAME                     INDEX_TYPE                     UNIQUENES LEAF_BLOCKS DISTINCT_KEYS I_STATUS I_LAST_AN GLO COLUMN_NAME                    COLUMN_POSITION
AIF_COMPTA_MAG                 VALID             0 01-JUN-14 NUMBER                         AIF_COMPTA_MAG_PK              NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEMAGASIN                                  1
AIF_FOURNISSEURS               VALID             0 01-JUN-14 VARCHAR2                       AIF_FOURNISSEURS_PK            NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEFOURNISSEUR                              1
AIF_FOURNISSEURS               VALID             0 01-JUN-14 NUMBER                         AIF_FOURNISSEURS_PK            NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEMAGASIN                                  2
AIF_FOURNISSEURS               VALID             0 01-JUN-14 NUMBER                         AIF_FOURNISSEURS_PK            NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEAIF                                      3
AIF_LIGNES_CDE_TRAITEES        VALID             0 01-JUN-14 VARCHAR2                       AIF_LIGNES_CDE_TRAITEES_PK     NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODESITE                                     1
AIF_LIGNES_CDE_TRAITEES        VALID             0 01-JUN-14 NUMBER                         AIF_LIGNES_CDE_TRAITEES_PK     NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEMAGASIN                                  2
AIF_LIGNES_CDE_TRAITEES        VALID             0 01-JUN-14 VARCHAR2                       AIF_LIGNES_CDE_TRAITEES_PK     NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODECOMMANDE                                 3
AIF_LIGNES_CDE_TRAITEES        VALID             0 01-JUN-14 VARCHAR2                       AIF_LIGNES_CDE_TRAITEES_PK     NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODECOLISAGE                                 4
AIF_MAGASIN_LANGUES            VALID             0 01-JUN-14 NUMBER                         AIF_MAGASIN_LANGUES_PK         NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEMAGASIN                                  1
AIF_MAGASIN_LANGUES            VALID             0 01-JUN-14 NUMBER                         AIF_MAGASIN_LANGUES_PK         NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODELANGUE                                   2
AIF_ZONE_TAXATION              VALID             0 01-JUN-14 NUMBER                         AIF_ZONE_TAXATION_PK           NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEMAGASIN                                  1
